query,method,rank,nct_id,title,score,source,bm25_rank,semantic_rank,search_time_ms
breast cancer hormone receptor positive phase 3,bm25,1,NCT06745804,Phase 1 Imaging Study of 68Ga-R10602-101 in Hormone Receptor-Positive Breast Cancer,80.24323,,,,77.37
breast cancer hormone receptor positive phase 3,bm25,2,NCT04483505,"Rogaratinib, Palbociclib and Fulvestrant in Advanced Hormone Receptor Positive, FGFR1/2/3-positive Breast Cancer: Phase I Clinical Trial Plus an Expansion Cohort",80.032166,,,,77.37
breast cancer hormone receptor positive phase 3,bm25,3,NCT01273168,"Phase I Trial of Z-Endoxifen in Adults With Refractory Hormone Receptor-Positive Breast Cancer, Desmoid Tumors, Gynecologic Tumors, or Other Hormone Receptor-Positive Solid Tumors",79.00947,,,,77.37
breast cancer hormone receptor positive phase 3,semantic,1,NCT05447910,Comprehensive Single-Cell Transcriptional Analysis of Aromatase Inhibitor-Resistant Breast Cancer,0.9136205315589905,,,,92.05
breast cancer hormone receptor positive phase 3,semantic,2,NCT00638391,Postmenopausal Women With Early Hormone-Receptor Positive Breast Cancer/no Metastasis,0.9097099900245667,,,,92.05
breast cancer hormone receptor positive phase 3,semantic,3,NCT07218432,A Window of Opportunity Pilot Study: TheraBionic P1 Device for Patients With Resectable Early-stage Breast Cancer in a Neoadjuvant Setting,0.9050095081329346,,,,92.05
breast cancer hormone receptor positive phase 3,hybrid,1,NCT06745804,Phase 1 Imaging Study of 68Ga-R10602-101 in Hormone Receptor-Positive Breast Cancer,0.02921395544346364,both,1,18,100.88
breast cancer hormone receptor positive phase 3,hybrid,2,NCT00638391,Postmenopausal Women With Early Hormone-Receptor Positive Breast Cancer/no Metastasis,0.026767330130404943,both,34,2,100.88
breast cancer hormone receptor positive phase 3,hybrid,3,NCT05736367,Pilot Study to Investigate the Metabolic Pathways in Hormone Receptor Positive/HER2 Negative Breast Cancer,0.025035205758097326,both,23,17,100.88
immunotherapy for non-small cell lung cancer,bm25,1,NCT07267000,Exercise as a Tool to Improve Response to Immunotherapy in Non-small Cell Lung Cancer,76.51537,,,,36.79
immunotherapy for non-small cell lung cancer,bm25,2,NCT02845856,Combination of Cetuximab and NK Immunotherapy for Recurrent Non-small Cell Lung Cancer,74.325424,,,,36.79
immunotherapy for non-small cell lung cancer,bm25,3,NCT04589013,Prediction of Response to Treatment With Immunotherapy + Chemotherapy in Non-Small Cell Lung Cancer,73.470406,,,,36.79
immunotherapy for non-small cell lung cancer,semantic,1,NCT00682032,Beta-glucan's Immuno-modulatory Effect on Non-Small Cell Lung Cancer,0.9119674563407898,,,,48.55
immunotherapy for non-small cell lung cancer,semantic,2,NCT00681512,Berry Interventional Trial (BIT) in Resected Non-Small Cell Lung Cancer,0.9108691811561584,,,,48.55
immunotherapy for non-small cell lung cancer,semantic,3,NCT03299478,Clinical Implementation of TNM-immunoscore in Resected Non-small Cell Lung Cancer,0.9108633399009705,,,,48.55
immunotherapy for non-small cell lung cancer,hybrid,1,NCT02845856,Combination of Cetuximab and NK Immunotherapy for Recurrent Non-small Cell Lung Cancer,0.030621785881252923,both,2,9,83.01
immunotherapy for non-small cell lung cancer,hybrid,2,NCT03007875,High-activity Natural Killer Immunotherapy for Small Metastases of Non-small Cell Lung Cancer,0.030330882352941176,both,4,8,83.01
immunotherapy for non-small cell lung cancer,hybrid,3,NCT06567704,Cancer-related Fatigue During Maintenance Immunotherapy for Non-small Cell Lung Cancer (NSCLC): a Qualitative Study,0.02749719416386083,both,21,6,83.01
CAR-T cell therapy for pediatric leukemia,bm25,1,NCT06847269,"CAR T CELL Therapy for Pediatric, Adolescent and Young Adult Patients With CD19-Positive Leukemia: An Investigation of Lymphodepleting Chemotherapy Pharmacokinetics",81.279816,,,,22.88
CAR-T cell therapy for pediatric leukemia,bm25,2,NCT06777979,CD19-CD22-Bispecific Chimeric Antigen Receptor (CAR) T Cell Therapy for Pediatric Patients With Acute Lymphoblastic Leukemia (1922CAR),80.37795,,,,22.88
CAR-T cell therapy for pediatric leukemia,bm25,3,NCT04571138,Pediatric and Young Adult Leukemia Adoptive Therapy (PLAT)-07: A Phase 1/2 Study of CD22-Specific CAR T Cells for CD22+ Leukemia or Lymphoma,79.436035,,,,22.88
CAR-T cell therapy for pediatric leukemia,semantic,1,NCT03296137,Adoptive Cell Therapy Across Cancer Diagnoses,0.9128510355949402,,,,45.08
CAR-T cell therapy for pediatric leukemia,semantic,2,NCT04265963,CD123-Targeted CAR-T Cell Therapy for Relapsed/Refractory Acute Myeloid Leukemia,0.9082064032554626,,,,45.08
CAR-T cell therapy for pediatric leukemia,semantic,3,NCT04473937,Radiation Therapy To Enhance CAR T Efficacy Early in Post-CAR T Cell Therapy Refractory Lymphoma: A Pilot Study,0.9077602624893188,,,,45.08
CAR-T cell therapy for pediatric leukemia,hybrid,1,NCT04265963,CD123-Targeted CAR-T Cell Therapy for Relapsed/Refractory Acute Myeloid Leukemia,0.02928692699490662,both,16,2,73.62
CAR-T cell therapy for pediatric leukemia,hybrid,2,NCT03186118,Pediatric and Young Adult Leukemia Adoptive Therapy (PLAT)-03: A Pilot Feasibility and Safety Study of CD19t T-Antigen Presenting Cells (T-APCs) Following CAR T Cell Immunotherapy for CD19+ Leukemia,0.022141372141372143,both,5,88,73.62
CAR-T cell therapy for pediatric leukemia,hybrid,3,NCT04473937,Radiation Therapy To Enhance CAR T Efficacy Early in Post-CAR T Cell Therapy Refractory Lymphoma: A Pilot Study,0.021755368814192343,both,110,3,73.62
clinical trial for glioblastoma that has come back,bm25,1,NCT05223764,Why Are They Not Coming Back? A Single-center Follow-up Study in Fertility Preservation in Oncological Women.,57.802994,,,,22.27
clinical trial for glioblastoma that has come back,bm25,2,NCT05704127,Clinical Study of Intelligent Moxibustion Robot in the Treatment of Low Back Pain: a Randomized Controlled Clinical Trial,51.047195,,,,22.27
clinical trial for glioblastoma that has come back,bm25,3,NCT05958485,Glioblastoma Multiforme Patients in Clinical Trials: An Examination of Their Clinical Trial Experiences,50.789597,,,,22.27
clinical trial for glioblastoma that has come back,semantic,1,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.898766040802002,,,,47.72
clinical trial for glioblastoma that has come back,semantic,2,NCT03590938,"Lynparza Tablets 100mg, 150mg CEI, Investigation on Development of Bone Marrow Depression in Patients With Unresectable or Recurrent BRCA Mutated HER2 Negative Breast Cancer Who Have Previously Received Anticancer Chemotherapy",0.8915314078330994,,,,47.72
clinical trial for glioblastoma that has come back,semantic,3,NCT03170310,"Apatinib Treatment for Advanced Esophagus Cancer ,One-armed，Exploratory，Openting , Clinical Trail.",0.8900818824768066,,,,47.72
clinical trial for glioblastoma that has come back,hybrid,1,NCT06552260,A Surgical Window of Opportunity Clinical Trial of Troriluzole in Recurrent IDH Wild-Type Glioblastoma,0.023581634068525453,both,29,21,76.22
clinical trial for glioblastoma that has come back,hybrid,2,NCT05223764,Why Are They Not Coming Back? A Single-center Follow-up Study in Fertility Preservation in Oncological Women.,0.01639344262295082,bm25_only,1,,76.22
clinical trial for glioblastoma that has come back,hybrid,3,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.01639344262295082,semantic_only,,1,76.22
melanomt with checkpoint inhibitors,bm25,1,NCT07340892,Prospective Study of NMR-based Serum Metabolic Profiles for the Diagnosis of Checkpoint Inhibitor-related Pneumonitis,48.699966,,,,6.94
melanomt with checkpoint inhibitors,bm25,2,NCT03963518,Immune-checkpoint Inhibitors and Surrogate Endpoints in Cancer Trials,48.313313,,,,6.94
melanomt with checkpoint inhibitors,bm25,3,NCT04805099,Real-world Safety and Efficacy Data of Checkpoint Inhibitors in Patients With Cancer and Underlying Autoimmune Disease: the Experience of the Hellenic Cooperative Oncology Group,47.37743,,,,6.94
melanomt with checkpoint inhibitors,semantic,1,NCT06988865,Benign Migratory Glossitis Associated With Antiangiogenic Drugs Used in Cancer Treatment,0.8994718790054321,,,,54.95
melanomt with checkpoint inhibitors,semantic,2,NCT03558932,IP3R Modulation by Cancer Genes Bcl-2 & PKM2 in Mesothelioma,0.8941063284873962,,,,54.95
